sample_id,species_code,leaf_type,location_id,month_day,mass_grams,area_sqcm,dbh,chn_sample_mass_mg,c_percent,h_percent,n_percent,reNDVI
1,acru,su,fa,07_31,0.47,87.54,1,5.73,40.8,5.97,1.47,0.4107
2,acru,su,fa,07_31,0.208,33.7,2.7,6.873,45.54,5.18,1.83,0.5009
3,acru,su,fa,07_31,0.486,80.86,2.2,3.799,50.99,5.96,1.68,0.4401
4,acru,su,fa,07_31,0.558,113.93,1,11.242,38.67,3.16,1.65,0.4383
5,quru,su,fa,07_31,0.538,102.96,2.9,4.89,56.02,6.44,2.2,0.4498
6,quru,su,fa,07_31,0.995,182.29,18.2,8.433,42.45,4.35,2.07,0.4996
7,acru,su,fa,07_31,0.35,71.91,1,8.398,37.02,4.26,1.27,0.4091
8,acru,su,fa,07_31,0.312,54.01,1.9,5.036,53.25,6.16,1.83,0.4374
9,quru,su,fa,07_31,0.479,85.04,1,5.902,46.29,6.1,1.9,0.4612
10,fagr,su,fa,07_31,0.217,59.3,2.4,7.242,38.3,5.02,1.87,0.4043
11,fagr,su,fa,07_31,0.343,84.12,3.7,5.73,45.97,6.37,2.13,0.5036
12,fagr,su,fa,07_31,0.293,86.51,5.5,7.782,40.48,4.74,1.69,0.363
13,fagr,su,fa,07_31,0.239,52.35,8.1,5.453,51.5,6.32,2.4,0.5491
14,acru,su,fa,07_31,0.295,52.29,1,7.482,39.54,4.86,1.25,0.3626
15,acru,su,fa,07_31,0.329,64.57,2.1,7.467,44.96,4.78,1.63,0.5107
16,quru,su,am,07_31,0.62,122.27,4,4.209,54.89,6.49,2.21,0.5043
17,acru,su,am,07_31,0.98,169.08,1,10.203,36.68,3.42,1.33,0.4268
18,acru,su,bu,08_01,0.28,46.79,3.4,8.117,47.23,4.33,1.55,0.4536
19,pogr,su,bu,08_01,0.172,29.13,2.8,6.487,52.43,5.38,2.65,0.5109
20,pogr,su,bu,08_01,0.13,20.54,5.8,8.125,39.71,4.3,1.8,0.4153
21,pogr,sh,bu,08_01,0.161,27.44,2.5,7.224,46.65,4.72,2.12,0.5117
22,acru,sh,bu,08_01,0.375,79.21,7.6,7.109,43.29,4.89,1.67,0.4901
23,quru,sh,bu,08_01,0.677,135.06,6.5,8.574,47.69,4.08,2,0.4899
24,acru,sh,bu,08_01,0.247,44,3.9,7.341,42.07,4.76,1.38,0.469
25,acru,sh,bu,08_01,0.233,56.35,1.3,11.45,40.21,3.04,1.54,0.4801
26,acru,sh,bu,08_01,0.185,44.88,7.3,6.928,46.97,5.11,1.71,0.4549
27,quru,sh,bu,08_01,0.419,74.12,1,4.688,52.86,6.47,2.55,0.5471
28,quru,su,bu,08_01,0.612,64.15,1,10.62,41.81,3.29,1.69,0.4115
29,pogr,su,bu,08_01,0.21,30.31,1,7.048,43.34,4.97,1.79,0.4648
30,quru,su,bu,08_01,0.505,69.57,11.7,8.676,44.73,3.99,1.72,0.5138
31,pogr,su,bu,08_01,0.269,35.26,1.6,9.266,39.89,3.81,1.52,0.4472
32,quru,sh,bu,08_01,0.657,112.16,6.9,9.87,47.01,3.62,1.98,0.5542
33,quru,sh,gr,08_01,0.403,93.75,1.6,10.102,42.67,3.59,2.04,0.5482
34,quru,su,gr,08_01,0.359,63.99,2.7,5.306,45.77,6.43,1.91,0.4605
35,quru,su,gr,08_01,1.395,169.88,12.8,8.996,42.21,3.92,1.76,0.5506
36,pogr,su,gr,08_01,0.15,23.34,1,5.679,47.94,6.29,2.61,0.5706
37,quru,su,gr,08_01,0.351,61.95,6.2,10.185,42.56,3.48,1.7,0.5162
38,acru,sh,gr,08_01,0.583,116.85,4.2,7.288,40.53,4.85,1.33,0.5076
39,quru,sh,gr,08_01,0.508,96.21,26.7,8.556,45.82,4.18,1.75,0.4836
40,acru,sh,gr,08_01,0.631,107.23,18.3,12.756,35.07,2.82,1.18,0.5392
41,quru,sh,gr,08_01,0.733,131.44,17,11.18,45.14,3.2,1.82,0.5476
42,quru,su,bg,08_01,1.362,126.84,59.5,6.062,47.62,5.96,2.21,0.5813
43,pogr,su,bg,08_01,0.296,44.73,43.4,7.992,41.17,4.45,1.89,0.5395
44,pogr,su,bg,08_04,0.356,57.09,3.1,6.168,43.05,5.75,2.33,0.625
45,quru,sh,bg,08_04,1.065,213.3,6.3,9.178,47.28,3.91,1.9,0.5023
46,quru,sh,bg,08_04,0.779,149.65,3.3,11.434,40.03,3.15,1.99,0.5509
47,acru,sh,bg,08_04,0.191,46.74,6,5.312,42.94,6.12,1.24,0.4447
48,acru,sh,bg,08_04,0.311,71.22,12.1,10.796,40.45,3.36,1.54,0.49
49,quru,sh,bg,08_04,0.832,165.05,23,10.224,46.16,3.51,1.7,0.5394
50,acru,sh,bg,08_04,0.311,81.27,4,11.635,37.03,3.11,1.36,0.5256
51,pogr,su,bg,08_04,0.335,40.16,9.9,8.401,45.57,4.2,1.81,0.506
52,pogr,su,bg,08_04,0.321,46.5,5.2,11.395,40.59,3.12,1.94,0.565
53,pogr,su,bg,08_04,0.342,34.12,1,8.713,45.83,4.13,1.93,0.4919
54,quru,sh,bg,08_04,0.97,160.13,6.8,6.955,48.65,5.11,2.02,0.5284
55,acru,sh,bg,08_04,0.274,53.38,1.8,11.987,38.12,3,1.1,0.4929
56,pogr,su,bg,08_04,0.545,68.7,1,9.936,47.96,3.53,1.88,0.5332
57,pogr,sh,bg,08_04,0.156,32.49,2,4.647,57.27,6.58,2.64,0.6286
58,pogr,sh,bg,08_04,0.193,38.12,4.1,7.868,44.82,4.87,2.36,0.5824
59,pogr,sh,pi,08_04,0.316,57.76,2.7,11.25,41.52,3.3,2.8,0.6113
60,pogr,su,pi,08_04,0.181,21.5,3.3,10.022,41.42,3.8,1.99,0.6436
61,pogr,su,pi,08_04,0.255,33.65,4,8.646,50.39,4.41,2.19,0.6387
62,pogr,su,pi,08_04,0.34,39.79,3.8,7.115,44.92,5.25,1.99,0.65
63,pogr,sh,pi,08_04,0.177,31.15,5,10.979,44.27,3.29,2.24,0.6046
64,pogr,sh,pi,08_04,0.174,28.39,2.6,10.61,42.97,3.53,1.71,0.6024
